2125,2125,org.nd4j:nd4j-common,Maven,https://github.com/deeplearning4j/deeplearning4j
1242,1242,org.openhab.addons.bundles:org.openhab.transform.exec,Maven,https://github.com/openhab/openhab-addons
2502,2502,org.jenkins-ci.plugins:plugin,Maven,https://github.com/jenkinsci/global-build-stats-plugin
195,195,org.apache.tomee:openejb-loader,Maven,https://github.com/apache/tomee
1816,1816,io.dropwizard:dropwizard-example,Maven,https://github.com/dropwizard/dropwizard
2345,2345,org.apache.tika:tika-server,Maven,https://github.com/apache/tika
419,419,org.apache.hadoop:hadoop-common,Maven,https://github.com/apache/hadoop
2904,2904,org.hornetq.rest:hornetq-rest,Maven,https://github.com/hornetq/hornetq
3932,3932,com.vaadin:flow-server,Maven,https://github.com/vaadin/flow
2088,2088,org.hswebframework.web:hsweb-system-oauth2-client-web,Maven,https://github.com/hs-web/hsweb-framework
3550,3550,org.eclipse.rdf4j:rdf4j-rio-rdfxml,Maven,https://github.com/eclipse/rdf4j
1490,1490,org.sonarsource.sonarqube:sonar-web,Maven,https://github.com/SonarSource/sonarqube
231,231,org.apache.tapestry:tapestry-core,Maven,https://github.com/apache/tapestry-5
1719,1719,org.quartz-scheduler:quartz,Maven,https://github.com/quartz-scheduler/quartz
735,735,org.apache.kylin:kylin-core-common,Maven,https://github.com/apache/kylin
101,101,org.openhab.addons.bundles:org.openhab.binding.vitotronic,Maven,https://github.com/openhab/openhab-addons
1814,1814,org.immutables:value-fixture,Maven,https://github.com/immutables/immutables
2224,2224,org.onosproject:onos-core-common,Maven,https://github.com/opennetworkinglab/onos
3489,3489,org.apache.cxf.fediz:fediz-jetty8,Maven,https://github.com/apache/cxf-fediz
276,276,org.apache.unomi:unomi-common,Maven,https://github.com/apache/unomi
1907,1907,org.apache.karaf.config:org.apache.karaf.config.core,Maven,https://github.com/apache/karaf
3862,3862,org.apache.skywalking:server-storage-plugin,Maven,https://github.com/apache/skywalking
2003,2003,org.springframework.security.oauth:spring-security-oauth2,Maven,https://github.com/spring-projects/spring-security-oauth
395,395,org.webjars.bower:chart.js,Maven,https://github.com/chartjs/Chart.js
2718,2718,org.apache.cxf.fediz:fediz-jetty9,Maven,https://github.com/apache/cxf-fediz
723,723,org.jenkins-ci.plugins:sonargraph-integration,Maven,https://github.com/jenkinsci/sonargraph-integration-plugin
2262,2262,org.infinispan:infinispan-compatibility-mode-it,Maven,https://github.com/infinispan/infinispan
630,630,org.apache.wicket:wicket-core,Maven,https://github.com/apache/wicket
3042,3042,org.apache.activemq:apache-activemq,Maven,https://github.com/apache/activemq
2909,2909,org.jboss.resteasy:resteasy-jaxrs,Maven,https://github.com/resteasy/Resteasy
1270,1270,org.jenkins-ci.plugins:azure-ad,Maven,https://github.com/jenkinsci/azure-ad-plugin
172,172,org.apache.flink:flink-runtime_2.12,Maven,https://github.com/apache/flink
2092,2092,org.apache.hadoop:hadoop-yarn-server-nodemanager,Maven,https://github.com/apache/hadoop
2934,2934,xml-security:xmlsec,Maven,https://github.com/apache/santuario-java
2365,2365,org.apache.uima:jvinci,Maven,https://github.com/apache/uima-uimaj
3184,3184,org.apache.cxf:cxf-rt-rs-security-xml,Maven,https://github.com/apache/cxf
1594,1594,org.apache.zeppelin:zeppelin-web,Maven,https://github.com/apache/zeppelin
1588,1588,org.apache.tapestry:tapestry-ioc,Maven,https://github.com/apache/tapestry-5
2333,2333,org.jenkins-ci.plugins:google-login,Maven,https://github.com/jenkinsci/google-login-plugin
2578,2578,org.apache.drill.exec:drill-java-exec,Maven,https://github.com/apache/drill
44,44,org.apache.myfaces.core:myfaces-core-project,Maven,https://github.com/apache/myfaces
2219,2219,org.jenkins-ci.plugins:resource-disposer,Maven,https://github.com/jenkinsci/resource-disposer-plugin
3197,3197,org.apache.hadoop:hadoop-hdfs,Maven,https://github.com/apache/hadoop
61,61,com.vaadin:vaadin-server,Maven,https://github.com/vaadin/framework
1818,1818,org.jenkins-ci.plugins:token-macro,Maven,https://github.com/jenkinsci/token-macro-plugin
1474,1474,org.wildfly.core:wildfly-host-controller,Maven,https://github.com/wildfly/wildfly-core
1599,1599,org.jenkins-ci.plugins:gitlab-logo,Maven,https://github.com/jenkinsci/gitlab-logo-plugin
512,512,org.wso2.carbon.governance:org.wso2.carbon.governance.generic,Maven,https://github.com/wso2/carbon-governance
3861,3861,io.prestosql:presto-main,Maven,https://github.com/prestosql/presto
3675,3675,org.infinispan:infinispan-spring5-common,Maven,https://github.com/infinispan/infinispan
2999,2999,org.apache.struts.xwork:xwork-core,Maven,https://github.com/apache/struts
425,425,com.alibaba.nacos:nacos-api,Maven,https://github.com/alibaba/nacos
141,141,org.togglz:togglz-console,Maven,https://github.com/togglz/togglz
2931,2931,org.fusesource.hawtjni:hawtjni-runtime,Maven,https://github.com/fusesource/hawtjni
446,446,org.jenkins-ci.plugins:script-security,Maven,https://github.com/jenkinsci/script-security-plugin
724,724,com.google.oauth-client:google-oauth-client,Maven,https://github.com/googleapis/google-oauth-java-client
3225,3225,org.apache.struts:struts2-config-browser-plugin,Maven,https://github.com/apache/struts
298,298,org.opencastproject:opencast-kernel,Maven,https://github.com/opencast/opencast
3576,3576,org.infinispan:infinispan-core,Maven,https://github.com/infinispan/infinispan
1415,1415,org.apache.cxf:cxf-rt-rs-security-sso-oidc,Maven,https://github.com/apache/cxf
2277,2277,org.jenkins-ci.plugins:ghprb,Maven,https://github.com/jenkinsci/ghprb-plugin
2254,2254,org.eclipse.jetty:jetty-util,Maven,https://github.com/eclipse/jetty.project
2488,2488,org.jbpm:jbpm-designer-backend,Maven,https://github.com/kiegroup/jbpm-designer
2642,2642,org.apache.openmeetings:openmeetings-core,Maven,https://github.com/apache/openmeetings
674,674,org.apache.ant:ant,Maven,https://github.com/apache/ant
2218,2218,org.jenkins-ci.plugins:pangolin-testrail-connector,Maven,https://github.com/jenkinsci/pangolin-testrail-connector-plugin
1350,1350,io.pebbletemplates:pebble,Maven,https://github.com/PebbleTemplates/pebble
3359,3359,org.jasig.cas:cas-server-support-ldap,Maven,https://github.com/apereo/cas
1945,1945,org.webjars.bowergithub.axios:axios,Maven,https://github.com/axios/axios
1214,1214,org.eclipse.che.infrastructure:infrastructure-kubernetes,Maven,https://github.com/eclipse/che
2195,2195,org.apache.zeppelin:zeppelin-server,Maven,https://github.com/apache/zeppelin
1288,1288,org.grails.plugins:fields,Maven,https://github.com/grails-fields-plugin/grails-fields
1508,1508,tomcat:tomcat-http11,Maven,https://github.com/apache/tomcat
2220,2220,org.jenkins-ci.plugins:saltstack,Maven,https://github.com/jenkinsci/saltstack-plugin
1744,1744,org.apache.kafka:kafka-clients,Maven,https://github.com/apache/kafka
348,348,org.jenkins-ci.plugins:active-directory,Maven,https://github.com/jenkinsci/active-directory-plugin
99,99,org.openhab.addons.bundles:org.openhab.binding.sonos,Maven,https://github.com/openhab/openhab-addons
2915,2915,org.eclipse.jetty.aggregate:jetty-all,Maven,https://github.com/eclipse/jetty.project
1723,1723,org.apache.tika:tika-core,Maven,https://github.com/apache/tika
2908,2908,org.jasig.cas:cas-client-core,Maven,https://github.com/apereo/java-cas-client
2791,2791,org.apache.xmlgraphics:batik-dom,Maven,https://github.com/apache/batik
349,349,org.jenkins-ci.plugins:subversion,Maven,https://github.com/jenkinsci/subversion-plugin
3294,3294,org.apache.cxf.services.sts:cxf-services-sts-core,Maven,https://github.com/apache/cxf
181,181,com.github.gwtmaterialdesign:gwt-material,Maven,https://github.com/GwtMaterialDesign/gwt-material
171,171,org.apache.flink:flink-runtime_2.11,Maven,https://github.com/apache/flink
1226,1226,org.eclipse.milo:sdk-client,Maven,https://github.com/eclipse/milo
112,112,org.http4s:http4s-blaze-server_2.13,Maven,https://github.com/http4s/http4s
3147,3147,org.apache.activemq:activemq-all,Maven,https://github.com/apache/activemq
110,110,org.webjars.bower:tui-editor,Maven,https://github.com/nhn/tui.editor
3541,3541,org.jenkins-ci.plugins:zos-connector,Maven,https://github.com/jenkinsci/zos-connector-plugin
726,726,org.jenkins-ci.plugins:vncviewer,Maven,https://github.com/jenkinsci/vncviewer-plugin
2249,2249,org.apache.hbase:hbase-thrift,Maven,https://github.com/apache/hbase
198,198,org.apache.tomee:openejb-core,Maven,https://github.com/apache/tomee
2912,2912,org.apache.xmlgraphics:batik-transcoder,Maven,https://github.com/apache/batik
2216,2216,org.jenkins-ci.plugins:maven-artifact-choicelistprovider,Maven,https://github.com/jenkinsci/maven-artifact-choicelistprovider-plugin
3546,3546,org.jenkins-ci.plugins:ssh-agent,Maven,https://github.com/jenkinsci/ssh-agent-plugin
85,85,io.undertow:undertow-core,Maven,https://github.com/undertow-io/undertow
3284,3284,org.apache.activemq:activemq-client,Maven,https://github.com/apache/activemq
691,691,org.apache.tomcat:tomcat-coyote,Maven,https://github.com/apache/tomcat
819,819,org.webjars.npm:serialize-javascript,Maven,https://github.com/yahoo/serialize-javascript
