advisory_id,ecosystem,package_id,release_id,commit_count,file_count,loc_change,contributor_count,ifcve,severity,fix_to_release_delay
SNYK-JS-VIVAXYHERE-455285,npm,1700,40,7,12,226,1,noncve,M,0.0
SNYK-JS-JPEGJS-570039,npm,902,383,14,4,504,3,cve,M,0.0
SNYK-DOTNET-MICROSOFTCHAKRACOREVC140-174389,NuGet,1950,8473,11,13,199,7,cve,H,0.0
SNYK-PYTHON-DJANGO-40403,pip,510,1093,48,34,7962,29,cve,M,0.0
SNYK-JS-COMPILESASS-551804,npm,1246,126,1,1,22,1,cve,H,0.0
SNYK-PYTHON-ASYNCSSH-42082,pip,2404,998,14,23,620,1,cve,H,-0.0
SNYK-PYTHON-PARAMIKO-42086,pip,1710,1302,18,7,188,2,cve,H,0.0
SNYK-PYTHON-OPENAPIPYTHONCLIENT-598765,pip,505,1293,14,19,872,5,cve,H,0.0
npm:clean-css:20180306,npm,2417,120,2,6,108,1,noncve,L,0.0
SNYK-PYTHON-SALT-40711,pip,1,1430,55,31,772,20,cve,M,0.0
SNYK-RUBY-NOKOGIRI-20368,RubyGems,2802,8240,2,3,104,1,cve,H,0.0
SNYK-JS-UAPARSERJS-1072471,npm,203,803,11,4,43,9,noncve,M,0.0
SNYK-JS-ELECTRON-174045,npm,124,234,5,2,14,4,cve,H,0.0
npm:glance:20180129,npm,1988,311,2,2,13,1,cve,H,0.0
SNYK-PYTHON-SHIFTBOILER-72558,pip,3558,1450,2,3,25,1,noncve,L,0.0
SNYK-PYTHON-COMET-40600,pip,3119,1050,3,4,88,2,noncve,M,0.0
SNYK-PHP-TYPO3CMSCORE-538228,Composer,594,7514,9,69,1232,3,cve,M,0.0
SNYK-GOLANG-GITHUBCOMTIDWALLGJSON-1055822,Go,3881,8881,1,2,7,1,cve,M,0.0
SNYK-PYTHON-MEINHELD-569140,pip,825,1245,14,41,13715,4,cve,H,0.0
